,Gender,Age,Annual Income (k$),Spending Score (1-100),Income cluster,Spending and Income Cluster
581,M,32.0,55.0,47.0,2,3
582,F,40.0,64.3,41.0,2,3
583,F,53.0,95.2,27.0,1,4
584,M,36.0,48.2,59.0,0,0
585,M,37.0,59.6,45.0,2,3
586,F,31.0,32.6,75.0,0,2
587,F,28.0,39.0,57.0,0,0
588,M,42.0,66.3,37.0,2,3
589,M,28.0,32.5,41.0,0,0
590,F,36.0,48.1,47.0,0,0
591,M,31.0,40.4,50.0,0,0
592,F,39.0,51.9,57.0,0,0
594,F,43.0,93.1,18.0,1,4
595,F,31.0,46.3,53.0,0,0
596,M,33.0,49.0,57.0,0,0
597,M,27.0,27.6,74.0,0,2
598,M,31.0,31.3,66.0,0,2
599,M,38.0,58.6,53.0,2,3
600,M,41.0,91.6,32.0,1,4
601,M,28.0,44.8,56.0,0,0
602,M,42.0,69.6,52.0,2,3
603,F,46.0,80.9,19.0,2,4
604,M,38.0,37.9,50.0,0,0
605,M,50.0,85.0,20.0,2,4
606,F,29.0,42.8,57.0,0,0
607,M,25.0,23.9,72.0,0,2
608,M,21.0,25.5,52.0,0,2
609,F,47.0,79.0,9.0,2,4
610,M,40.0,75.3,34.0,2,4
611,M,35.0,36.4,64.0,0,2
612,M,37.0,49.9,54.0,0,0
613,F,26.0,15.0,68.0,0,2
614,M,55.0,100.7,14.0,1,1
615,M,36.0,34.4,43.0,0,0
616,F,36.0,57.0,52.0,2,3
617,M,41.0,83.9,26.0,2,4
618,F,39.0,56.5,68.0,2,0
619,F,37.0,61.4,50.0,2,3
620,M,29.0,27.2,53.0,0,2
621,F,39.0,66.8,36.0,2,3
622,F,50.0,84.4,27.0,2,4
623,M,46.0,94.2,25.0,1,4
624,F,48.0,98.4,35.0,1,4
625,F,31.0,29.5,60.0,0,2
626,M,27.0,24.6,53.0,0,2
627,M,34.0,38.9,73.0,0,2
628,M,35.0,41.4,53.0,0,0
629,F,44.0,71.6,45.0,2,3
630,M,21.0,30.2,50.0,0,2
631,F,47.0,80.6,36.0,2,4
632,F,34.0,46.6,54.0,0,0
633,F,32.0,35.6,37.0,0,0
634,F,27.0,16.6,83.0,0,2
635,F,22.0,24.4,72.0,0,2
636,F,42.0,60.9,39.0,2,3
637,F,36.0,46.9,39.0,0,0
638,M,25.0,16.7,66.0,0,2
639,M,25.0,43.5,53.0,0,0
640,F,32.0,47.5,54.0,0,0
641,F,48.0,82.9,32.0,2,4
642,M,33.0,52.1,54.0,0,0
643,F,23.0,17.2,77.0,0,2
644,M,33.0,46.3,57.0,0,0
645,M,33.0,43.6,42.0,0,0
646,M,18.0,17.1,74.0,0,2
647,F,35.0,55.8,64.0,2,0
648,F,33.0,47.9,82.0,0,2
649,M,41.0,78.0,25.0,2,4
650,M,50.0,79.1,33.0,2,4
651,M,44.0,71.7,17.0,2,4
652,M,33.0,41.0,59.0,0,0
653,M,26.0,30.1,52.0,0,2
655,M,35.0,64.9,36.0,2,3
656,F,35.0,57.7,30.0,2,3
657,M,35.0,50.4,45.0,0,0
658,F,37.0,49.8,29.0,0,3
659,F,34.0,42.1,60.0,0,0
660,F,30.0,29.0,38.0,0,0
661,F,31.0,39.0,55.0,0,0
662,F,35.0,47.7,30.0,0,0
663,F,31.0,28.5,55.0,0,2
664,M,29.0,37.5,71.0,0,2
665,F,36.0,46.2,54.0,0,0
666,M,33.0,26.7,51.0,0,2
667,F,47.0,74.6,34.0,2,4
668,F,18.0,15.0,61.0,0,2
669,M,44.0,90.4,35.0,1,4
670,F,45.0,73.6,22.0,2,4
671,M,18.0,15.0,67.0,0,2
672,M,32.0,44.1,25.0,0,0
673,M,32.0,27.8,53.0,0,2
674,M,24.0,34.5,51.0,0,0
675,F,29.0,31.0,64.0,0,2
676,F,26.0,28.7,58.0,0,2
677,M,49.0,92.6,12.0,1,1
678,F,42.0,59.1,34.0,2,3
679,F,45.0,62.7,42.0,2,3
680,M,41.0,70.9,38.0,2,3
681,F,26.0,37.7,49.0,0,0
683,M,39.0,30.1,63.0,0,2
684,F,25.0,24.0,55.0,0,2
685,F,41.0,69.6,39.0,2,3
686,F,33.0,51.6,71.0,0,0
687,M,32.0,36.5,41.0,0,0
688,M,41.0,74.9,19.0,2,4
689,F,39.0,62.0,51.0,2,3
691,F,44.0,74.6,33.0,2,4
692,F,26.0,30.9,50.0,0,2
693,M,40.0,79.4,34.0,2,4
694,F,40.0,66.6,57.0,2,3
695,M,33.0,42.3,61.0,0,0
696,M,38.0,31.1,65.0,0,2
697,F,25.0,22.3,46.0,0,2
698,F,42.0,79.2,24.0,2,4
700,M,31.0,38.9,46.0,0,0
701,F,43.0,92.4,39.0,1,4
702,F,29.0,32.1,62.0,0,2
703,M,24.0,27.2,56.0,0,2
704,F,23.0,16.3,62.0,0,2
705,M,40.0,59.1,37.0,2,3
706,F,25.0,32.5,59.0,0,2
707,M,49.0,85.0,36.0,2,4
708,F,18.0,15.0,45.0,0,2
709,F,49.0,88.4,30.0,2,4
